,step,total_cpu_demand,avg_cpu_usage,total_mem_demand,avg_mem_usage
70,70,0.6035957336425781,0.008382133815599524,0.4087095260620117,0.008205137391021286
71,71,0.8876628875732422,0.008722066879272461,0.4587059020996094,0.007489757104353471
72,72,0.8114604949951172,0.005025948796953473,0.6280174255371094,0.005084114415305001
73,73,0.9089221954345703,0.007028895158034104,0.382476806640625,0.005886283287635216
74,74,0.9358119964599609,0.0059885191685945085,0.3672027587890625,0.004371161599761074
75,75,0.4184532165527344,0.0062703395235365715,0.2334585189819336,0.0062209143154862995
76,76,0.4843940734863281,0.006665125489234924,0.23705196380615234,0.004990413784980774
77,77,0.774169921875,0.007215676988874163,0.30113887786865234,0.005100727081298828
78,78,0.3942985534667969,0.005092261267490074,0.4299325942993164,0.007733079253650102
79,79,0.4964923858642578,0.010165370878626089,0.18674087524414062,0.0072420620527423795
